"street_label","street_type","total_trees","total_length","n_segments","density"
"1000 E 11TH AV","Public",16,140.375434984122,1,11.3980056423759
"1000-1100 W 45TH AV","Public",16,216.157039509989,1,7.40202587723755
"1300 E 21ST AV","Public",16,126.310854983122,1,12.6671615057455
"1600-1700 W 60TH AV","Public",16,356.998037123425,2,4.48181735925576
"1900 E 3RD AV","Public",16,140.272494436456,2,11.4063701970083
"200 E 20TH AV","Public",16,170.647073547979,1,9.37607640572957
"300 W 7TH AV","Public",16,140.599120813816,1,11.3798720129889
"3200 RUPERT ST","Public",16,87.2595176277776,1,18.3361086961896
"3800 W 3RD AV","Public",16,220.733225282283,1,7.24856893634319
"400 E CORDOVA ST","Public",16,141.472820210115,1,11.3095928788561
"4000 W 27TH AV","Public",16,223.810589576352,1,7.14890212759198
"4000 W 38TH AV","Public",16,227.571822804085,1,7.03074739343909
"4100 RUPERT ST","Public",16,86.0870224725048,1,18.5858443473408
"4500 SOPHIA ST","Public",16,133.226366498796,1,12.0096347445944
"4700 BEATRICE ST","Public",16,148.187939973533,1,10.7970999548666
"4700-4800 SELKIRK ST","Public",16,188.313758741054,2,8.49645830817984
"500 W 22ND AV","Public",16,157.487987545141,2,10.1595050196536
"500-600 TERMINAL AV","Public",16,186.05515612747,1,8.59960042657357
"600 CHILCO ST","Public",16,64.9100882479716,1,24.649481200636
"7500-7700 OSLER ST","Public",16,259.137470832211,3,6.17432899557774
"0 E 49TH AV","Public",15,156.92896713675,3,9.55846474598206
"0 W 14TH AV","Public",15,140.967610600379,1,10.640742179083
"0 W 28TH AV","Public",15,143.383767491184,3,10.4614352534169
"1000-1100 W 16TH AV","Public",15,222.708652500035,2,6.73525695190386
"1300 BUTE ST","Public",15,219.703913716257,4,6.82737041242341
"1500 W 40TH AV","Public",15,134.156969212328,2,11.1809323720333
"1500-1600 E 58TH AV","Public",15,255.039917878565,2,5.88143225765237
"1800 W 5TH AV","Public",15,171.975841792008,1,8.7221553002435
"2100 W 16TH AV","Public",15,141.337103600909,2,10.612924432324
"2100 W 42ND AV","Public",15,163.910613959427,1,9.15132927493822
"2100 W 6TH AV","Public",15,171.954992324505,1,8.72321285775332
"2400 E 23RD AV","Public",15,149.411801467311,2,10.0393676086435
"2500 E 12TH AV","Public",15,127.180465579554,1,11.7942641046688
"2500 E 7TH AV","Public",15,183.240120214531,1,8.18598022225622
"2700 E 49TH AV","Public",15,261.714670147901,2,5.73143262910067
"2700 W 20TH AV","Public",15,189.95544902516,2,7.89658842480124
"3000-3100 W 31ST AV","Public",15,199.901937862179,1,7.50367913408706
"3200 W 32ND AV","Public",15,210.897551623186,2,7.11245810325988
"3500 E 23RD AV","Public",15,166.1458456099,1,9.0282124990468
"3500 MARSHALL ST","Public",15,176.354675448427,3,8.50558680219771
"3500 W 38TH AV","Public",15,239.299929070216,1,6.26828434855016
"3800 W 24TH AV","Public",15,200.633757187358,1,7.47630917662202
